productcategory_id,material_id,outer_diameter,height,weight,heattreatmentcategory_id,heattreatment_temperatures,forming_temperatures,dimension,input_weight,workplace_id,product_id,mes_datetime,value
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:35:00,91.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:36:00,91.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:37:00,91.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:38:00,91.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:39:00,91.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:40:00,91.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:41:00,91.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:42:00,91.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:43:00,91.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:44:00,91.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:45:00,91.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:46:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:47:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:48:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:49:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:50:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:51:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:52:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:53:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:54:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:55:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:56:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:57:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:58:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 09:59:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 10:00:00,89.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 10:01:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 10:02:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 10:03:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 10:04:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 10:05:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 10:06:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 10:07:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 10:08:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 10:09:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 10:10:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 10:11:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 10:12:00,84.0
